init github.com/carapace-sh/carapace-bin/completers/common/lightdm_completer/cmd @11 ms, 0.008 ms clock, 11016 bytes, 85 allocs
init github.com/carapace-sh/carapace-bin/completers/common/link_completer/cmd @11 ms, 0.007 ms clock, 7264 bytes, 54 allocs
init github.com/carapace-sh/carapace-bin/completers/common/ln_completer/cmd @11 ms, 0.019 ms clock, 15160 bytes, 112 allocs
init github.com/carapace-sh/carapace-bin/completers/common/lnav_completer/cmd @11 ms, 0.013 ms clock, 14960 bytes, 111 allocs
init github.com/carapace-sh/carapace-bin/completers/common/lncrawl_completer/cmd @11 ms, 0.020 ms clock, 18384 bytes, 132 allocs
init github.com/carapace-sh/carapace-bin/completers/common/locale_completer/cmd @11 ms, 0.006 ms clock, 8248 bytes, 64 allocs
init github.com/carapace-sh/carapace-bin/completers/common/logname_completer/cmd @11 ms, 0.008 ms clock, 6744 bytes, 45 allocs
init github.com/carapace-sh/carapace-bin/completers/common/ls_completer/cmd @11 ms, 0.026 ms clock, 30432 bytes, 207 allocs
init github.com/carapace-sh/carapace-bin/completers/common/lsb_release_completer/cmd @11 ms, 0.016 ms clock, 8192 bytes, 61 allocs
init github.com/carapace-sh/carapace-bin/completers/common/lscpu_completer/cmd @11 ms, 0.011 ms clock, 15216 bytes, 107 allocs
init github.com/carapace-sh/carapace-bin/completers/common/lsirq_completer/cmd @11 ms, 0.013 ms clock, 11096 bytes, 82 allocs
init github.com/carapace-sh/carapace-bin/completers/common/lsmem_completer/cmd @11 ms, 0.012 ms clock, 12384 bytes, 95 allocs
init github.com/carapace-sh/carapace-bin/completers/common/lua_completer/cmd @11 ms, 0.011 ms clock, 8104 bytes, 64 allocs
init github.com/carapace-sh/carapace-bin/completers/common/magick_completer/cmd @11 ms, 2.5 ms clock, 3930928 bytes, 7741 allocs
init github.com/carapace-sh/carapace-bin/completers/common/makepkg_completer/cmd @14 ms, 0.021 ms clock, 20088 bytes, 142 allocs
